"from_team","to_team","weight","from_connections","to_connections"
3,2865,50,16,2
3,2883,30,3,13
3,2893,20,4,4
3,2914,30,2,4
3,2950,10,2,2
3,2974,6,2,2
3,3022,156,3,17
3,3042,64,3,14
3,3083,60,3,11
3,3099,30,2,7
3,3125,104,4,14
3,3678,20,2,5
3,3686,16,2,4
3,4312,52,2,13
3,4742,64,3,11
3,4930,32,3,6
3,5075,32,2,8
3,5431,24,2,6
3,5514,20,2,6
3,5538,32,2,8
3,5640,38,3,8
3,5773,36,2,9
3,5810,64,2,16
3,5814,24,2,6
4,189,74,12,14
6,27,72,21,8
6,30,38,16,3
7,303,34,4,10
7,1264,8,3,2
9,20,64,2,27
9,30,44,8,13
9,42,62,14,22
9,56,16,8,2
9,80,16,7,8
9,87,16,6,4
9,107,56,26,9
9,113,182,51,7
9,119,52,13,8
9,122,194,58,19
9,125,4,2,2
9,167,24,9,4
9,183,72,25,3
9,209,18,8,3
9,222,90,17,14
9,243,6,2,3
9,263,58,2,26
9,266,6,2,3
9,270,16,5,3
9,274,26,8,3
9,281,78,9,10
9,286,8,4,2
9,288,84,23,12
9,338,20,7,6
9,595,12,4,4
9,618,20,2,9
9,659,4,2,2
9,697,22,10,2
9,699,14,2,4
9,727,38,2,11
9,744,32,5,6
9,843,24,11,3
9,996,12,4,4
9,1090,68,4,11
9,1125,42,15,8
9,1148,24,11,3
9,1238,48,21,6
9,1640,10,2,4
9,1765,4,2,2
9,1994,12,4,4
9,2006,6,3,2
9,2236,24,9,2
9,2273,16,2,8
9,2287,10,4,3
9,2318,54,17,6
9,2358,66,2,18
9,2623,34,13,4
10,30,26,6,2
10,250,84,32,4
10,1235,50,9,4
12,57,22,11,5
12,89,20,2,9
12,253,6,3,2
12,266,48,12,10
12,391,30,10,7
12,597,36,7,6
12,1709,18,8,2
12,1961,18,7,2
12,5260,18,2,5
14,54,64,17,2
14,730,20,2,7
14,1111,54,7,15
14,4555,8,2,3
15,34,36,9,9
15,56,14,2,7
15,94,30,12,5
15,165,16,5,6
15,216,28,10,3
15,244,192,40,21
15,373,8,3,3
15,722,44,7,8
15,2337,26,3,3
16,601,18,2,6
16,5029,14,2,5
17,30,36,11,9
17,281,14,2,7
17,588,24,2,6
18,204,20,9,3
19,172,20,3,9
19,774,30,6,7
20,84,60,7,18
20,253,68,8,23
20,266,6,2,3
20,380,8,4,2
20,2006,52,11,3
20,3073,50,3,7
23,2374,14,2,5
24,1617,4,2,2
25,1524,14,2,4
26,27,164,20,39
26,30,82,33,3
26,40,30,15,2
26,129,76,7,17
26,147,96,47,3
26,263,90,21,5
26,270,120,27,22
26,488,22,4,4
26,1500,20,9,2
26,2576,16,3,3
26,2825,12,3,5
26,5939,24,2,7
27,30,194,55,23
27,263,78,17,5
27,266,12,6,2
27,270,108,2,32
27,405,8,2,2
27,760,80,4,14
27,781,10,3,4
27,847,46,2,11
27,1424,204,41,38
27,2639,22,4,6
29,84,32,8,5
29,964,12,2,5
30,133,36,2,14
30,137,70,26,10
30,191,62,2,29
30,200,12,2,3
30,263,288,47,72
30,266,10,3,4
30,270,66,26,7
30,353,16,2,5
30,397,52,8,19
30,488,10,2,2
30,1048,80,5,27
30,1050,22,8,2
30,1424,162,3,65
30,1911,10,4,3
30,2317,44,4,13
30,2369,80,2,11
31,186,22,7,2
31,965,32,2,12
31,1375,16,2,6
31,2708,26,2,7
32,167,112,11,37
33,113,74,31,4
33,137,48,2,23
33,498,4,2,2
34,216,10,3,2
34,341,34,3,10
36,99,8,2,2
36,123,8,3,3
36,139,16,7,3
36,216,52,9,18
36,543,24,8,4
36,701,22,8,7
36,1368,12,3,2
36,1748,8,3,2
36,3657,6,2,2
38,943,22,2,10
38,1451,6,3,2
38,2274,12,2,4
38,2985,30,2,6
40,217,8,3,3
40,405,4,2,2
40,971,8,3,3
41,726,54,16,5
41,2220,62,13,8
41,3023,34,2,7
41,3131,28,2,7
42,1238,42,18,2
42,1622,60,2,9
42,2697,10,2,5
42,2732,10,2,3
44,233,6,2,3
44,587,10,2,3
44,2066,24,2,7
50,58,70,4,32
50,73,68,8,26
50,265,8,2,4
50,299,20,7,3
50,656,8,2,3
50,659,4,2,2
50,729,12,2,3
50,731,54,9,3
50,1537,14,7,2
50,2077,34,7,10
50,2180,10,4,3
50,2507,38,8,3
50,2714,16,7,2
50,2775,42,4,9
50,3084,60,2,15
51,1894,28,10,2
53,299,4,2,2
53,1045,30,2,14
53,1706,8,2,2
53,2355,30,2,8
54,56,8,2,4
54,156,62,9,22
54,169,12,5,5
54,262,122,9,34
54,395,46,10,11
54,449,30,5,9
54,873,64,10,8
54,1634,10,5,2
54,2252,10,3,2
54,2308,20,4,7
54,2388,32,2,11
54,5317,8,2,3
55,253,58,6,24
55,266,22,10,3
56,62,26,2,13
56,99,44,15,5
56,103,126,4,30
56,118,52,2,17
56,126,12,2,6
56,153,14,2,5
56,156,16,2,8
56,162,74,15,4
56,233,6,3,2
56,244,4,2,2
56,262,32,2,9
56,342,36,17,3
56,726,4,2,2
56,739,8,2,2
56,864,160,4,64
56,1181,56,2,14
56,1193,10,2,3
56,2189,38,2,10
57,239,12,2,6
57,1709,4,2,2
58,289,4,2,2
58,994,16,2,7
58,1578,8,2,2
58,2392,14,5,2
58,5175,18,2,6
62,166,62,5,19
62,196,146,11,7
62,227,6,2,2
62,731,22,4,4
62,1237,94,23,5
62,3005,20,2,9
63,5728,40,2,10
69,1933,12,6,2
71,1424,4,2,2
71,2275,12,3,2
71,2555,10,2,3
72,137,8,3,3
72,1168,28,9,4
72,1908,42,16,3
73,170,18,3,6
73,478,22,2,6
73,867,32,3,7
73,946,8,4,2
73,1812,14,2,4
73,2089,20,8,2
73,2406,62,6,15
73,2544,22,7,6
73,2627,74,26,3
74,154,36,2,10
75,1531,10,2,3
75,2038,10,4,2
75,2439,18,5,2
76,2074,20,10,2
77,2217,14,6,2
78,288,320,39,62
78,854,22,2,10
78,1281,28,9,6
78,1366,26,6,7
80,107,396,59,74
80,113,16,4,4
80,263,30,3,8
80,342,54,20,9
80,554,8,4,2
80,995,10,5,2
80,1105,32,16,2
80,2054,40,8,4
80,2128,8,2,3
80,2364,6,2,3
80,2408,10,2,4
80,2622,8,2,4
80,5592,8,2,2
83,796,78,23,4
83,2062,20,9,2
84,266,26,11,6
84,284,18,3,5
84,441,4,2,2
84,594,34,6,12
84,964,8,3,2
84,969,122,34,11
84,1415,8,2,3
84,2035,26,8,6
84,3007,54,2,8
85,2169,10,3,2
86,1752,6,2,2
87,122,18,5,4
89,419,36,9,2
90,167,102,19,6
90,1032,34,5,9
91,3114,36,3,7
91,5312,40,2,11
94,1902,12,2,4
94,2206,4,2,2
99,209,30,8,2
99,442,4,2,2
99,701,16,6,5
100,262,38,3,19
100,394,22,4,7
100,1238,4,2,2
101,1432,16,8,2
101,1759,16,8,2
103,162,64,4,24
103,582,8,2,3
103,1376,16,5,2
103,1849,8,2,3
103,1939,20,2,5
103,5318,10,2,4
106,174,12,4,3
106,2018,24,3,10
106,2486,24,8,3
107,113,82,21,5
107,122,6,2,3
107,166,6,2,3
107,185,72,2,35
107,201,12,2,3
107,204,36,2,18
107,211,8,2,2
107,256,18,3,7
107,263,80,14,2
107,266,4,2,2
107,338,42,10,13
107,554,24,12,2
107,1324,132,3,14
107,2054,6,2,2
108,217,46,21,5
108,637,18,2,5
108,1095,6,3,2
108,1204,6,2,2
108,2413,16,8,2
108,2652,186,29,21
113,137,72,3,33
113,266,8,3,3
113,634,8,2,2
113,794,42,3,9
113,2868,106,4,19
113,3089,100,2,12
113,4688,26,2,8
115,2756,12,2,2
116,489,20,2,8
116,1413,14,5,2
118,2138,14,2,7
119,122,30,2,14
119,288,6,3,2
119,854,30,2,8
119,2042,6,3,3
119,5774,10,2,3
122,203,8,4,2
122,344,10,2,5
122,697,4,2,2
122,1238,14,5,4
122,1935,36,10,4
122,1994,46,21,3
123,216,42,7,14
123,452,18,8,3
123,785,26,8,5
123,801,28,2,8
123,1049,38,4,11
123,2343,24,2,9
126,323,18,3,8
126,1242,20,10,2
126,1565,18,9,2
126,1751,24,2,8
126,2171,24,11,2
126,2597,16,2,5
126,2796,30,2,13
127,2657,84,2,22
127,5354,32,2,10
127,5911,20,2,5
128,720,66,2,21
128,1021,28,9,3
128,2476,24,2,6
128,3044,32,2,7
131,506,8,2,2
133,311,20,10,2
133,324,14,6,2
133,342,50,6,19
133,752,22,8,2
133,1042,32,2,11
133,1048,10,3,3
133,1153,14,2,7
133,1238,12,6,2
133,1621,24,8,5
133,2208,12,6,3
133,2386,20,2,6
133,3049,34,2,6
134,164,48,9,14
135,2059,10,4,2
135,2279,24,8,2
137,189,28,2,14
137,237,10,5,2
137,241,18,2,9
137,465,30,14,2
137,549,8,4,2
137,1250,4,2,2
137,2928,108,3,15
137,3085,32,2,8
137,4828,70,4,12
137,5223,18,2,5
139,1203,8,4,2
140,342,18,9,2
140,434,20,2,6
140,1193,12,5,2
142,186,66,2,28
147,1192,20,4,7
147,1345,12,2,3
148,266,4,2,2
148,2020,28,12,2
150,1424,28,2,13
152,2266,22,3,9
156,213,4,2,2
156,262,26,7,10
156,1123,8,3,2
156,2097,6,2,3
156,2098,8,4,2
156,4154,20,2,6
157,279,38,3,7
158,701,24,7,5
159,342,158,25,30
159,2246,24,9,5
159,4033,12,2,3
160,481,10,2,3
162,204,52,2,24
162,864,20,5,4
162,1021,80,6,16
162,1790,26,2,7
162,3127,64,3,10
163,415,10,3,3
166,338,28,2,12
167,203,14,5,3
167,221,28,6,9
167,308,46,15,4
167,582,44,2,8
167,967,16,2,4
167,1059,70,17,13
